protocol,source_port,length,tcp_flags,dst_port,delta_time,info,label
20,49728.0,54,2,21.0,0.051133,22455,0
4,54532.0,93,10,53.0,0.775941,37886,0
4,54532.0,93,10,53.0,0.000174,38183,0
20,59352.0,74,0,53.0,1.989363,41084,0
24,20000.0,788,10,10000.0,1.684665,2316,0
24,20001.0,788,10,10001.0,0.0024,2510,0
24,20000.0,788,10,10000.0,0.006774,2316,0
19,0.0,60,10,0.0,0.345847,36225,0
24,20001.0,494,10,10001.0,0.004447,2441,0
24,20000.0,494,10,10000.0,0.002566,2247,0
24,20001.0,578,10,10001.0,0.351225,2467,0
20,53948.0,74,0,53.0,0.557804,24115,0
4,54532.0,93,10,53.0,0.060153,37886,0
4,54532.0,93,10,53.0,8.2e-05,38183,0
20,53948.0,74,0,53.0,0.951783,40878,0
20,53948.0,74,0,53.0,2.01629,40879,0
4,59576.0,81,10,53.0,2.038307,38213,0
4,59576.0,81,10,53.0,0.000125,37757,0
0,0.0,60,10,0.0,1.193679,38322,0
20,53948.0,74,0,53.0,1.023421,40880,0
24,20000.0,771,10,10000.0,2.714722,2313,0
24,20001.0,771,10,10001.0,0.002312,2507,0
24,20000.0,771,10,10000.0,0.004719,2313,0
24,20001.0,771,10,10001.0,0.002392,2507,0
20,58554.0,74,0,53.0,0.004473,26605,0
24,20000.0,771,10,10000.0,0.000361,2313,0
24,20001.0,771,10,10001.0,0.00223,2507,0
24,20000.0,771,10,10000.0,0.007393,2313,0
4,59576.0,81,10,53.0,0.049987,38213,0
4,59576.0,81,10,53.0,0.000123,37757,0
20,58554.0,74,0,53.0,0.955614,41042,0
19,0.0,60,10,0.0,1.002511,36225,0
24,20000.0,501,10,10000.0,0.00442,2250,0
24,20000.0,855,10,10000.0,0.481103,2325,0
20,58554.0,74,0,53.0,0.527721,41043,0
4,45435.0,93,10,53.0,2.034821,37568,0
4,45435.0,93,10,53.0,0.000452,37918,0
20,58554.0,74,0,53.0,2.190346,41044,0
20,43738.0,74,0,53.0,2.752788,18185,0
4,45435.0,93,10,53.0,0.062536,37568,0
4,45435.0,93,10,53.0,0.000112,37918,0
0,0.0,60,10,0.0,0.135085,38320,0
20,43738.0,74,0,53.0,0.82396,40585,0
24,20000.0,1362,10,10000.0,1.56913,2177,0
19,0.0,60,10,0.0,0.048552,36225,0
15,137.0,92,10,137.0,0.2995,37077,0
20,43738.0,74,0,53.0,0.098606,40586,0
15,137.0,92,10,137.0,0.652928,37077,0
15,137.0,92,10,137.0,0.762531,37077,0
4,58610.0,81,10,53.0,0.614519,37526,0
4,58610.0,81,10,53.0,0.000135,38056,0
20,43738.0,74,0,53.0,2.162133,40587,0
20,35556.0,74,0,53.0,2.779923,9463,0
4,58610.0,81,10,53.0,0.06623,37526,0
4,58610.0,81,10,53.0,9.7e-05,38056,0
20,35556.0,74,0,53.0,0.961658,40281,0
15,137.0,92,10,137.0,0.010891,37077,0
15,137.0,92,10,137.0,0.753703,37077,0
15,137.0,92,10,137.0,0.750099,37077,0
20,35556.0,74,0,53.0,0.501256,40282,0
24,20001.0,587,10,10001.0,0.092006,2470,0
24,20000.0,428,10,10000.0,0.005223,2233,0
24,20000.0,354,10,10000.0,0.006095,2213,0
24,20001.0,354,10,10001.0,0.001918,2407,0
24,20000.0,354,10,10000.0,0.005767,2213,0
24,20001.0,354,10,10001.0,0.003454,2407,0
24,20000.0,354,10,10000.0,0.004704,2213,0
24,20001.0,354,10,10001.0,0.002019,2407,0
24,20000.0,354,10,10000.0,0.005561,2213,0
24,20001.0,354,10,10001.0,0.003528,2407,0
24,20000.0,354,10,10000.0,0.004413,2213,0
24,20001.0,354,10,10001.0,0.003504,2407,0
24,20000.0,354,10,10000.0,0.004523,2213,0
19,0.0,60,10,0.0,0.209558,36225,0
24,20001.0,1124,10,10001.0,0.002581,2359,0
2,0.0,357,10,0.0,0.288486,36243,0
24,20001.0,963,10,10001.0,0.002941,2538,0
24,20001.0,368,10,10001.0,0.002399,2408,0
20,80.0,141,6,15006.0,0.005365,40203,0
6,49728.0,82,6,21.0,0.92152,37265,0
6,21.0,105,6,49728.0,0.00029,37284,0
6,49728.0,60,6,21.0,0.007064,37082,0
20,20.0,74,0,49730.0,0.000475,2156,0
20,49730.0,66,4,20.0,0.000215,22459,0
20,20.0,60,2,49730.0,0.000113,2153,0
6,21.0,93,6,49728.0,0.000145,37281,0
7,20.0,382,6,49730.0,0.000168,36604,0
20,20.0,60,3,49730.0,6e-05,2155,0
20,49730.0,54,2,20.0,0.000276,22457,0
6,21.0,78,6,49728.0,0.000123,37293,0
20,49728.0,54,2,21.0,9.9e-05,22451,0
20,49730.0,54,3,20.0,0.027866,22458,0
20,20.0,60,2,49730.0,0.000139,2154,0
4,37734.0,93,10,53.0,0.411629,37407,0
4,37734.0,93,10,53.0,9.8e-05,37520,0
20,35556.0,74,0,53.0,2.135394,40283,0
0,0.0,60,10,0.0,2.56018,38315,0
0,0.0,42,10,0.0,0.000301,1957,0
20,34498.0,74,0,53.0,0.242192,8311,0
4,37734.0,93,10,53.0,0.067481,37407,0
4,37734.0,93,10,53.0,0.000106,37520,0
20,34498.0,74,0,53.0,0.937605,40254,0
20,34498.0,74,0,53.0,2.016145,40255,0
24,20000.0,496,10,10000.0,0.168864,2248,0
24,20001.0,496,10,10001.0,0.002399,2442,0
24,20001.0,496,10,10001.0,0.00505,2442,0
24,20000.0,496,10,10000.0,0.002358,2248,0
19,0.0,60,10,0.0,0.109854,36225,0
24,20000.0,561,10,10000.0,0.004445,2269,0
24,20001.0,480,10,10001.0,0.586616,2439,0
4,50524.0,81,10,53.0,1.173291,38255,0
4,50524.0,81,10,53.0,0.00011,38071,0
0,0.0,60,10,0.0,0.059084,38322,0
20,34498.0,74,0,53.0,2.047859,40256,0
20,47108.0,74,0,53.0,2.829364,20589,0
4,50524.0,81,10,53.0,0.069228,38255,0
4,50524.0,81,10,53.0,9e-05,38071,0
20,47108.0,74,0,53.0,0.941238,40682,0
20,47108.0,74,0,53.0,2.016185,40683,0
24,20000.0,522,10,10000.0,0.977529,2256,0
24,20000.0,309,10,10000.0,0.002403,2204,0
24,20001.0,309,10,10001.0,0.004773,2400,0
24,20001.0,309,10,10001.0,0.002257,2400,0
24,20000.0,452,10,10000.0,0.004833,2238,0
24,20001.0,452,10,10001.0,0.002586,2432,0
24,20000.0,267,10,10000.0,0.003533,2196,0
19,0.0,60,10,0.0,0.261086,36225,0
24,20001.0,662,10,10001.0,0.003809,2489,0
24,20000.0,662,10,10000.0,0.028155,2291,0
4,49483.0,93,10,53.0,0.757444,37727,0
4,49483.0,93,10,53.0,0.000173,38050,0
20,47108.0,74,0,53.0,2.079282,40684,0
20,32914.0,74,0,53.0,2.854734,7531,0
4,49483.0,93,10,53.0,0.07135,37727,0
4,49483.0,93,10,53.0,0.000111,38050,0
20,32914.0,74,0,53.0,0.945495,40211,0
20,32914.0,74,0,53.0,2.016335,40212,0
24,20000.0,183,10,10000.0,1.217985,2181,0
24,20001.0,183,10,10001.0,0.002355,2378,0
24,20000.0,732,10,10000.0,0.005028,2310,0
24,20001.0,732,10,10001.0,0.002585,2504,0
24,20000.0,459,10,10000.0,0.005171,2239,0
24,20001.0,459,10,10001.0,0.002512,2433,0
24,20000.0,225,10,10000.0,0.005292,2190,0
24,20001.0,225,10,10001.0,0.002356,2387,0
24,20000.0,225,10,10000.0,0.007181,2190,0
24,20001.0,225,10,10001.0,0.002604,2387,0
24,20001.0,459,10,10001.0,0.005165,2433,0
24,20000.0,459,10,10000.0,0.002634,2239,0
24,20000.0,459,10,10000.0,0.005123,2239,0
24,20001.0,459,10,10001.0,0.002774,2433,0
24,20000.0,459,10,10000.0,0.005008,2239,0
24,20001.0,459,10,10001.0,0.002319,2433,0
24,20000.0,459,10,10000.0,0.005289,2239,0
24,20001.0,459,10,10001.0,0.0026,2433,0
4,41675.0,81,10,53.0,0.760974,37419,0
4,41675.0,81,10,53.0,9.6e-05,37544,0
19,0.0,60,10,0.0,0.640764,36225,0
24,20000.0,813,10,10000.0,0.003354,2320,0
24,20000.0,813,10,10000.0,0.060102,2320,0
20,32914.0,74,0,53.0,1.346318,40213,0
20,38178.0,74,0,53.0,2.878573,10487,0
4,41675.0,81,10,53.0,0.074657,37419,0
4,41675.0,81,10,53.0,0.000132,37544,0
20,38178.0,74,0,53.0,0.95058,40391,0
20,38178.0,74,0,53.0,2.016293,40392,0
4,52560.0,93,10,53.0,2.038793,37785,0
4,52560.0,93,10,53.0,0.00011,38110,0
0,0.0,60,10,0.0,0.114034,38320,0
24,20000.0,513,10,10000.0,1.017615,2254,0
24,20001.0,513,10,10001.0,0.002461,2450,0
24,20000.0,513,10,10000.0,0.005259,2254,0
19,0.0,60,10,0.0,0.162431,36225,0
24,20000.0,797,10,10000.0,0.003836,2318,0
24,20000.0,797,10,10000.0,0.023051,2318,0
20,38178.0,74,0,53.0,0.696354,40393,0
20,54584.0,78,0,53.0,2.562402,24227,0
20,48612.0,74,0,53.0,0.343178,21332,0
4,52560.0,93,10,53.0,0.074613,37785,0
